2026-05-16 09:20:37.341 [info] [LS Main] Starting language server from: /Applications/Antigravity.app/Contents/Resources/app/extensions/antigravity/bin/language_server_macos_arm
2026-05-16 09:20:37.375 [info] [LS Main] Args: --csrf_token ed7fe081-a0cd-417c-be6d-b9aa63a93333 --extension_server_port 49503 --extension_server_csrf_token 5e29409c-73c7-41d7-902b-f23edaace6f6 --app_data_dir antigravity --cloud_code_endpoint https://cloudcode-pa.googleapis.com
2026-05-16 09:20:37.419 [info] [LS Main] Process spawned with PID: 1421
2026-05-16 09:20:37.930 [error] [LS Main stderr] I0516 09:20:37.930638  1421 server.go:1236] Starting language server process with pid 1421

2026-05-16 09:20:37.934 [error] [LS Main stderr] I0516 09:20:37.934299  1421 server.go:301] Setting GOMAXPROCS to 4

2026-05-16 09:20:37.955 [error] [LS Main stderr] I0516 09:20:37.954996  1421 server.go:440] Language server will attempt to listen on host 127.0.0.1

2026-05-16 09:20:37.956 [error] [LS Main stderr] I0516 09:20:37.956054  1421 server.go:454] Language server listening on random port at 49508 for HTTPS (gRPC)
I0516 09:20:37.956083  1421 server.go:461] Language server listening on random port at 49509 for HTTP

2026-05-16 09:20:38.267 [error] No LS client info found for local authority
2026-05-16 09:20:38.591 [error] [LS Main stderr] I0516 09:20:38.590764  1421 server.go:433] Created extension server client at port 49503

2026-05-16 09:20:38.673 [error] [LS Main stderr] I0516 09:20:38.672971  1421 cascade_manager.go:773] Reactive state is disabled

2026-05-16 09:20:38.742 [info] [LS Main] LS started on port 49508
2026-05-16 09:20:38.747 [error] [LS Main stderr] I0516 09:20:38.747010  1421 server.go:1693] initialized server successfully in 814.118291ms

2026-05-16 09:20:38.789 [error] [LS Main stderr] 2026/05/16 09:20:38 http2: server: error reading preface from client 127.0.0.1:49524: read tcp 127.0.0.1:49508->127.0.0.1:49524: read: connection reset by peer
2026/05/16 09:20:38 http2: server: error reading preface from client 127.0.0.1:49523: read tcp 127.0.0.1:49508->127.0.0.1:49523: read: connection reset by peer

2026-05-16 09:20:40.835 [error] [LS Main stderr] I0516 09:20:40.835786  1421 http_helpers.go:151] URL: https://cloudcode-pa.googleapis.com/v1internal:loadCodeAssist Trace: 0x88802cdc6c92814e

2026-05-16 09:20:41.575 [error] [LS Main stderr] I0516 09:20:41.575250  1421 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:fetchAvailableModels Trace: 0xc453674c88e8215f

2026-05-16 09:20:42.585 [error] [LS Main stderr] I0516 09:20:42.584843  1421 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:loadCodeAssist Trace: 0x22fd2d04b051dba6

2026-05-16 09:20:43.127 [error] [LS Main stderr] I0516 09:20:43.127817  1421 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:fetchAvailableModels Trace: 0xd499f5816da7bc85

2026-05-16 09:21:04.085 [error] [LS Main stderr] E0516 09:21:04.085633  1421 log.go:398] failed to check terminal shell support: internal: internal error

2026-05-16 09:21:04.121 [error] [LS Main stderr] I0516 09:21:04.121724  1421 planner_generator.go:283] Requesting planner with 5 chat messages at model retry attempt 1 and API retry attempt 1

2026-05-16 09:21:04.137 [error] [LS Main stderr] E0516 09:21:04.136911  1421 repo.go:394] failed to create patch for untracked file leanring-buddy/clicky/__pycache__/visual_router.cpython-314.pyc: bytes are not valid utf8

2026-05-16 09:21:09.923 [error] [LS Main stderr] I0516 09:21:09.923432  1421 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x84487ca0c7fea41b

2026-05-16 09:21:12.490 [error] [LS Main stderr] I0516 09:21:12.490048  1421 planner_generator.go:283] Requesting planner with 6 chat messages at model retry attempt 1 and API retry attempt 1

2026-05-16 09:21:13.437 [error] [LS Main stderr] I0516 09:21:13.437440  1421 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x48a684764bfae29e

2026-05-16 09:21:18.053 [error] [LS Main stderr] I0516 09:21:18.053331  1421 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0xbc613e9500450c3a

2026-05-16 09:21:18.230 [error] [LS Main stderr] I0516 09:21:18.230036  1421 planner_generator.go:283] Requesting planner with 9 chat messages at model retry attempt 1 and API retry attempt 1

2026-05-16 09:21:25.167 [error] [LS Main stderr] I0516 09:21:25.167078  1421 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x86e5abb82026e9ad

2026-05-16 09:21:27.953 [error] [LS Main stderr] I0516 09:21:27.953471  1421 planner_generator.go:283] Requesting planner with 11 chat messages at model retry attempt 1 and API retry attempt 1

2026-05-16 09:21:34.367 [error] [LS Main stderr] I0516 09:21:34.367678  1421 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x629f8497ec8667b4

2026-05-16 09:24:07.298 [error] [LS Main stderr] E0516 09:24:07.298258  1421 log.go:398] failed to check terminal shell support: internal: internal error

2026-05-16 09:24:07.325 [error] [LS Main stderr] I0516 09:24:07.324907  1421 planner_generator.go:283] Requesting planner with 14 chat messages at model retry attempt 1 and API retry attempt 1

2026-05-16 09:24:12.569 [error] [LS Main stderr] I0516 09:24:12.569299  1421 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x442d9031c16356d4

2026-05-16 09:24:14.417 [error] [LS Main stderr] I0516 09:24:14.417128  1421 planner_generator.go:283] Requesting planner with 15 chat messages at model retry attempt 1 and API retry attempt 1

2026-05-16 09:24:18.457 [error] [LS Main stderr] I0516 09:24:18.457487  1421 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0xeadc38fe4b083704

2026-05-16 09:24:18.897 [error] [LS Main stderr] I0516 09:24:18.897728  1421 planner_generator.go:283] Requesting planner with 17 chat messages at model retry attempt 1 and API retry attempt 1

2026-05-16 09:24:23.425 [error] [LS Main stderr] I0516 09:24:23.425148  1421 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0xf96d362afcca3c19

2026-05-16 09:25:02.785 [error] [LS Main stderr] E0516 09:25:02.785330  1421 log.go:398] failed to check terminal shell support: internal: internal error

2026-05-16 09:25:02.848 [error] [LS Main stderr] I0516 09:25:02.848201  1421 planner_generator.go:283] Requesting planner with 20 chat messages at model retry attempt 1 and API retry attempt 1

2026-05-16 09:25:08.187 [error] [LS Main stderr] I0516 09:25:08.183362  1421 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0xf06686f8507aa2e3

