2026-05-16 11:23:01.180 [info] [LS Main] Starting language server from: /Applications/Antigravity.app/Contents/Resources/app/extensions/antigravity/bin/language_server_macos_arm
2026-05-16 11:23:01.229 [info] [LS Main] Args: --csrf_token 019bbd92-3f36-4d1e-9366-8347dd79566f --extension_server_port 54290 --extension_server_csrf_token 20946db2-f81f-4660-add3-30d60015003b --app_data_dir antigravity --cloud_code_endpoint https://cloudcode-pa.googleapis.com
2026-05-16 11:23:01.325 [info] [LS Main] Process spawned with PID: 6095
2026-05-16 11:23:02.288 [error] [LS Main stderr] I0516 11:23:02.287581  6095 server.go:1236] Starting language server process with pid 6095

2026-05-16 11:23:02.288 [error] [LS Main stderr] I0516 11:23:02.288565  6095 server.go:301] Setting GOMAXPROCS to 4

2026-05-16 11:23:02.293 [error] [LS Main stderr] I0516 11:23:02.293424  6095 server.go:440] Language server will attempt to listen on host 127.0.0.1

2026-05-16 11:23:02.295 [error] No LS client info found for local authority
2026-05-16 11:23:02.295 [error] [LS Main stderr] I0516 11:23:02.295397  6095 server.go:454] Language server listening on random port at 54295 for HTTPS (gRPC)
I0516 11:23:02.295448  6095 server.go:461] Language server listening on random port at 54296 for HTTP

2026-05-16 11:23:10.352 [error] [LS Main stderr] I0516 11:23:10.352801  6095 server.go:433] Created extension server client at port 54290

2026-05-16 11:23:10.384 [error] [LS Main stderr] I0516 11:23:10.384621  6095 cascade_manager.go:773] Reactive state is disabled

2026-05-16 11:23:10.417 [info] [LS Main] LS started on port 54295
2026-05-16 11:23:10.420 [error] [LS Main stderr] I0516 11:23:10.420177  6095 server.go:1693] initialized server successfully in 8.131916208s

2026-05-16 11:23:10.432 [error] [LS Main stderr] 2026/05/16 11:23:10 http: TLS handshake error from 127.0.0.1:54377: EOF

2026-05-16 11:23:10.432 [error] [LS Main stderr] 2026/05/16 11:23:10 http: TLS handshake error from 127.0.0.1:54380: EOF

2026-05-16 11:23:10.433 [error] [LS Main stderr] 2026/05/16 11:23:10 http: TLS handshake error from 127.0.0.1:54381: EOF

2026-05-16 11:23:10.437 [error] [LS Main stderr] 2026/05/16 11:23:10 http: TLS handshake error from 127.0.0.1:54378: EOF

2026-05-16 11:23:12.054 [error] [LS Main stderr] I0516 11:23:12.054153  6095 http_helpers.go:151] URL: https://cloudcode-pa.googleapis.com/v1internal:loadCodeAssist Trace: 0xe6474d63ccc8e213

2026-05-16 11:23:12.815 [error] [LS Main stderr] I0516 11:23:12.815647  6095 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:fetchAvailableModels Trace: 0xc807e02125181f08

2026-05-16 11:23:54.439 [error] [LS Main stderr] I0516 11:23:54.439191  6095 http_helpers.go:151] URL: https://cloudcode-pa.googleapis.com/v1internal:loadCodeAssist Trace: 0x83532fef86519221

2026-05-16 11:23:54.440 [error] [LS Main stderr] W0516 11:23:54.440265  6095 log_context.go:118] Cache(availableModels): Singleflight refresh failed: error getting token source: state syncing error: key not found
W0516 11:23:54.440378  6095 log_context.go:118] Failed to refresh cache in background: error getting token source: state syncing error: key not found

2026-05-16 11:23:54.440 [error] [LS Main stderr] W0516 11:23:54.440843  6095 log_context.go:118] Cache(fetchAdminControls): Singleflight refresh failed: error getting token source: state syncing error: key not found
W0516 11:23:54.440860  6095 log_context.go:118] Failed to refresh cache in background: error getting token source: state syncing error: key not found

