2026-05-16 13:08:42.715 [info] [LS Main] Starting language server from: /Applications/Antigravity.app/Contents/Resources/app/extensions/antigravity/bin/language_server_macos_arm
2026-05-16 13:08:42.910 [info] [LS Main] Args: --csrf_token 2ee8b772-834a-406d-9e61-929be9452ec6 --extension_server_port 49163 --extension_server_csrf_token b2626680-b0a5-43f1-8fc2-4ce025e419a0 --app_data_dir antigravity --cloud_code_endpoint https://cloudcode-pa.googleapis.com
2026-05-16 13:08:47.123 [error] No LS client info found for local authority
2026-05-16 13:08:48.801 [info] [LS Main] Process spawned with PID: 1038
2026-05-16 13:08:52.503 [error] [LS Main stderr] I0516 13:08:52.502619  1038 server.go:1236] Starting language server process with pid 1038

2026-05-16 13:08:52.514 [error] [LS Main stderr] I0516 13:08:52.509271  1038 server.go:301] Setting GOMAXPROCS to 4

2026-05-16 13:08:52.535 [error] [LS Main stderr] I0516 13:08:52.534771  1038 server.go:440] Language server will attempt to listen on host 127.0.0.1

2026-05-16 13:08:52.538 [error] [LS Main stderr] I0516 13:08:52.536561  1038 server.go:454] Language server listening on random port at 49515 for HTTPS (gRPC)
I0516 13:08:52.536591  1038 server.go:461] Language server listening on random port at 49516 for HTTP

2026-05-16 13:08:53.195 [error] [LS Main stderr] I0516 13:08:53.195141  1038 server.go:433] Created extension server client at port 49163

2026-05-16 13:08:53.218 [error] [LS Main stderr] I0516 13:08:53.218566  1038 cascade_manager.go:773] Reactive state is disabled

2026-05-16 13:08:53.262 [info] [LS Main] LS started on port 49515
2026-05-16 13:08:53.268 [error] [LS Main stderr] I0516 13:08:53.268135  1038 server.go:1693] initialized server successfully in 765.310167ms

2026-05-16 13:08:53.283 [error] [LS Main stderr] 2026/05/16 13:08:53 http: TLS handshake error from 127.0.0.1:49539: EOF

2026-05-16 13:08:53.285 [error] [LS Main stderr] 2026/05/16 13:08:53 http: TLS handshake error from 127.0.0.1:49543: EOF

2026-05-16 13:08:53.293 [error] [LS Main stderr] 2026/05/16 13:08:53 http: TLS handshake error from 127.0.0.1:49542: EOF
2026/05/16 13:08:53 http: TLS handshake error from 127.0.0.1:49540: EOF

2026-05-16 13:08:54.806 [error] [LS Main stderr] I0516 13:08:54.806185  1038 http_helpers.go:151] URL: https://cloudcode-pa.googleapis.com/v1internal:loadCodeAssist Trace: 0x154158a6dc82a38c

2026-05-16 13:08:56.022 [error] [LS Main stderr] I0516 13:08:56.021709  1038 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:fetchAvailableModels Trace: 0x98a9320ff5acade5

2026-05-16 13:08:56.206 [error] [LS Main stderr] I0516 13:08:56.206130  1038 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:loadCodeAssist Trace: 0x5ab6eda5a1b246f2

2026-05-16 13:09:40.924 [error] [LS Main stderr] E0516 13:09:40.922433  1038 log.go:398] failed to check terminal shell support: internal: internal error

2026-05-16 13:09:41.026 [error] [LS Main stderr] I0516 13:09:41.026664  1038 planner_generator.go:283] Requesting planner with 121 chat messages at model retry attempt 1 and API retry attempt 1

2026-05-16 13:09:46.709 [error] [LS Main stderr] I0516 13:09:46.709723  1038 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x241102eb615862e7

2026-05-16 13:09:46.748 [error] [LS Main stderr] I0516 13:09:46.747980  1038 planner_generator.go:283] Requesting planner with 123 chat messages at model retry attempt 1 and API retry attempt 1

2026-05-16 13:09:58.786 [error] [LS Main stderr] I0516 13:09:58.785803  1038 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x3fa3d7d3e21d69be

2026-05-16 13:10:00.897 [error] [LS Main stderr] I0516 13:10:00.897015  1038 planner_generator.go:283] Requesting planner with 64 chat messages at model retry attempt 1 and API retry attempt 1

2026-05-16 13:10:07.388 [error] [LS Main stderr] I0516 13:10:07.388027  1038 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x50387a1fa3b65dd1

2026-05-16 13:10:09.439 [error] [LS Main stderr] I0516 13:10:09.439156  1038 planner_generator.go:283] Requesting planner with 67 chat messages at model retry attempt 1 and API retry attempt 1

2026-05-16 13:10:14.614 [error] [LS Main stderr] I0516 13:10:14.614291  1038 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x6567c1955403368

2026-05-16 13:10:24.735 [error] [LS Main stderr] I0516 13:10:24.735643  1038 planner_generator.go:283] Requesting planner with 69 chat messages at model retry attempt 1 and API retry attempt 1

2026-05-16 13:10:29.184 [error] [LS Main stderr] I0516 13:10:29.184050  1038 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0xbac9e479fe4335d7

2026-05-16 13:10:34.347 [error] [LS Main stderr] I0516 13:10:34.347228  1038 planner_generator.go:283] Requesting planner with 71 chat messages at model retry attempt 1 and API retry attempt 1

2026-05-16 13:10:39.072 [error] [LS Main stderr] I0516 13:10:39.069562  1038 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x726d2b620b58d1dc

2026-05-16 13:10:46.228 [error] [LS Main stderr] I0516 13:10:46.228698  1038 planner_generator.go:283] Requesting planner with 73 chat messages at model retry attempt 1 and API retry attempt 1

2026-05-16 13:10:51.223 [error] [LS Main stderr] I0516 13:10:50.371963  1038 http_helpers.go:151] URL: https://daily-cloudcode-pa.googleapis.com/v1internal:streamGenerateContent?alt=sse Trace: 0x1736545a4f855203

